# Data format string: '(4E12.4)'
# Data printout from CCMC-simulation: version PD-2.0
# Data type:  Weimer_05  ionosphere
# Run name:   N/A  Inputs: Vx:  400.00 By:  -3.54 Bz:  -3.54 N:   8.00 Tilt: -25.00
# Model coordinate system: SM
# Missing data:          NaN
# Date, time:            0           0           0  **:59:00
# Output data: field with 162x181=29322 elements
# LAT         MLT         R           PHI       
# deg         hours       R_E         kV        
  9.0000E+01  1.2000E+01  1.0170E+00  9.8818E+00
  8.9500E+01  1.2000E+01  1.0170E+00  1.0293E+01
  8.9000E+01  1.2000E+01  1.0170E+00  1.0621E+01
  8.8500E+01  1.2000E+01  1.0170E+00  1.0846E+01
  8.8000E+01  1.2000E+01  1.0170E+00  1.0955E+01
  8.7500E+01  1.2000E+01  1.0170E+00  1.0953E+01
  8.7000E+01  1.2000E+01  1.0170E+00  1.0855E+01
  8.6500E+01  1.2000E+01  1.0170E+00  1.0687E+01
  8.6000E+01  1.2000E+01  1.0170E+00  1.0485E+01
  8.5500E+01  1.2000E+01  1.0170E+00  1.0284E+01
  8.5000E+01  1.2000E+01  1.0170E+00  1.0121E+01
  8.4500E+01  1.2000E+01  1.0170E+00  1.0027E+01
  8.4000E+01  1.2000E+01  1.0170E+00  1.0022E+01
  8.3500E+01  1.2000E+01  1.0170E+00  1.0113E+01
  8.3000E+01  1.2000E+01  1.0170E+00  1.0291E+01
  8.2500E+01  1.2000E+01  1.0170E+00  1.0532E+01
  8.2000E+01  1.2000E+01  1.0170E+00  1.0796E+01
  8.1500E+01  1.2000E+01  1.0170E+00  1.1034E+01
  8.1000E+01  1.2000E+01  1.0170E+00  1.1188E+01
  8.0500E+01  1.2000E+01  1.0170E+00  1.1195E+01
  8.0000E+01  1.2000E+01  1.0170E+00  1.1002E+01
  7.9500E+01  1.2000E+01  1.0170E+00  1.0559E+01
  7.9000E+01  1.2000E+01  1.0170E+00  9.8361E+00
  7.8500E+01  1.2000E+01  1.0170E+00  8.8195E+00
  7.8000E+01  1.2000E+01  1.0170E+00  7.5184E+00
  7.7500E+01  1.2000E+01  1.0170E+00  5.9662E+00
  7.7000E+01  1.2000E+01  1.0170E+00  4.2140E+00
  7.6500E+01  1.2000E+01  1.0170E+00  2.3381E+00
  7.6000E+01  1.2000E+01  1.0170E+00  4.1911E-01
  7.5500E+01  1.2000E+01  1.0170E+00 -1.4441E+00
  7.5000E+01  1.2000E+01  1.0170E+00 -3.1646E+00
  7.4500E+01  1.2000E+01  1.0170E+00 -4.6502E+00
  7.4000E+01  1.2000E+01  1.0170E+00 -5.8346E+00
  7.3500E+01  1.2000E+01  1.0170E+00 -6.6616E+00
  7.3000E+01  1.2000E+01  1.0170E+00 -7.1058E+00
  7.2500E+01  1.2000E+01  1.0170E+00 -7.1650E+00
  7.2000E+01  1.2000E+01  1.0170E+00 -6.8628E+00
  7.1500E+01  1.2000E+01  1.0170E+00 -6.2502E+00
  7.1000E+01  1.2000E+01  1.0170E+00 -5.3927E+00
  7.0500E+01  1.2000E+01  1.0170E+00 -4.3757E+00
  7.0000E+01  1.2000E+01  1.0170E+00 -3.2853E+00
  6.9500E+01  1.2000E+01  1.0170E+00 -2.2119E+00
  6.9000E+01  1.2000E+01  1.0170E+00 -1.2339E+00
  6.8500E+01  1.2000E+01  1.0170E+00 -4.1739E-01
  6.8000E+01  1.2000E+01  1.0170E+00  1.9267E-01
  6.7500E+01  1.2000E+01  1.0170E+00  5.7406E-01
  6.7000E+01  1.2000E+01  1.0170E+00  7.2840E-01
  6.6500E+01  1.2000E+01  1.0170E+00  6.8068E-01
  6.6000E+01  1.2000E+01  1.0170E+00  4.7562E-01
  6.5500E+01  1.2000E+01  1.0170E+00  1.7187E-01
  6.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.9500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.9000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.8500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.8000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.7500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.7000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.6500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.6000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.5500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.5500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.6000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.6500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.7000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.7500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.8000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.8500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.9000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.9500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.5500E+01  1.2000E+01  1.0170E+00 -1.4960E-01
 -6.6000E+01  1.2000E+01  1.0170E+00 -4.4396E-01
 -6.6500E+01  1.2000E+01  1.0170E+00 -7.3674E-01
 -6.7000E+01  1.2000E+01  1.0170E+00 -1.0247E+00
 -6.7500E+01  1.2000E+01  1.0170E+00 -1.3058E+00
 -6.8000E+01  1.2000E+01  1.0170E+00 -1.5800E+00
 -6.8500E+01  1.2000E+01  1.0170E+00 -1.8491E+00
 -6.9000E+01  1.2000E+01  1.0170E+00 -2.1179E+00
 -6.9500E+01  1.2000E+01  1.0170E+00 -2.3935E+00
 -7.0000E+01  1.2000E+01  1.0170E+00 -2.6860E+00
 -7.0500E+01  1.2000E+01  1.0170E+00 -3.0076E+00
 -7.1000E+01  1.2000E+01  1.0170E+00 -3.3732E+00
 -7.1500E+01  1.2000E+01  1.0170E+00 -3.7984E+00
 -7.2000E+01  1.2000E+01  1.0170E+00 -4.3006E+00
 -7.2500E+01  1.2000E+01  1.0170E+00 -4.8957E+00
 -7.3000E+01  1.2000E+01  1.0170E+00 -5.5997E+00
 -7.3500E+01  1.2000E+01  1.0170E+00 -6.4249E+00
 -7.4000E+01  1.2000E+01  1.0170E+00 -7.3813E+00
 -7.4500E+01  1.2000E+01  1.0170E+00 -8.4737E+00
 -7.5000E+01  1.2000E+01  1.0170E+00 -9.7020E+00
 -7.5500E+01  1.2000E+01  1.0170E+00 -1.1061E+01
 -7.6000E+01  1.2000E+01  1.0170E+00 -1.2539E+01
 -7.6500E+01  1.2000E+01  1.0170E+00 -1.4120E+01
 -7.7000E+01  1.2000E+01  1.0170E+00 -1.5781E+01
 -7.7500E+01  1.2000E+01  1.0170E+00 -1.7498E+01
 -7.8000E+01  1.2000E+01  1.0170E+00 -1.9240E+01
 -7.8500E+01  1.2000E+01  1.0170E+00 -2.0981E+01
 -7.9000E+01  1.2000E+01  1.0170E+00 -2.2689E+01
 -7.9500E+01  1.2000E+01  1.0170E+00 -2.4339E+01
 -8.0000E+01  1.2000E+01  1.0170E+00 -2.5905E+01
 -8.0500E+01  1.2000E+01  1.0170E+00 -2.7371E+01
 -8.1000E+01  1.2000E+01  1.0170E+00 -2.8722E+01
 -8.1500E+01  1.2000E+01  1.0170E+00 -2.9949E+01
 -8.2000E+01  1.2000E+01  1.0170E+00 -3.1053E+01
 -8.2500E+01  1.2000E+01  1.0170E+00 -3.2034E+01
 -8.3000E+01  1.2000E+01  1.0170E+00 -3.2901E+01
 -8.3500E+01  1.2000E+01  1.0170E+00 -3.3663E+01
 -8.4000E+01  1.2000E+01  1.0170E+00 -3.4332E+01
 -8.4500E+01  1.2000E+01  1.0170E+00 -3.4917E+01
 -8.5000E+01  1.2000E+01  1.0170E+00 -3.5428E+01
 -8.5500E+01  1.2000E+01  1.0170E+00 -3.5871E+01
 -8.6000E+01  1.2000E+01  1.0170E+00 -3.6246E+01
 -8.6500E+01  1.2000E+01  1.0170E+00 -3.6552E+01
 -8.7000E+01  1.2000E+01  1.0170E+00 -3.6782E+01
 -8.7500E+01  1.2000E+01  1.0170E+00 -3.6924E+01
 -8.8000E+01  1.2000E+01  1.0170E+00 -3.6967E+01
 -8.8500E+01  1.2000E+01  1.0170E+00 -3.6896E+01
 -8.9000E+01  1.2000E+01  1.0170E+00 -3.6701E+01
 -8.9500E+01  1.2000E+01  1.0170E+00 -3.6370E+01
 -9.0000E+01  1.2000E+01  1.0170E+00 -3.5899E+01
  9.0000E+01  1.2133E+01  1.0170E+00  9.8818E+00
  8.9500E+01  1.2133E+01  1.0170E+00  1.0259E+01
  8.9000E+01  1.2133E+01  1.0170E+00  1.0551E+01
  8.8500E+01  1.2133E+01  1.0170E+00  1.0739E+01
  8.8000E+01  1.2133E+01  1.0170E+00  1.0810E+01
  8.7500E+01  1.2133E+01  1.0170E+00  1.0767E+01
  8.7000E+01  1.2133E+01  1.0170E+00  1.0627E+01
  8.6500E+01  1.2133E+01  1.0170E+00  1.0416E+01
  8.6000E+01  1.2133E+01  1.0170E+00  1.0168E+01
  8.5500E+01  1.2133E+01  1.0170E+00  9.9203E+00
  8.5000E+01  1.2133E+01  1.0170E+00  9.7090E+00
  8.4500E+01  1.2133E+01  1.0170E+00  9.5643E+00
  8.4000E+01  1.2133E+01  1.0170E+00  9.5065E+00
  8.3500E+01  1.2133E+01  1.0170E+00  9.5425E+00
  8.3000E+01  1.2133E+01  1.0170E+00  9.6641E+00
  8.2500E+01  1.2133E+01  1.0170E+00  9.8472E+00
  8.2000E+01  1.2133E+01  1.0170E+00  1.0054E+01
  8.1500E+01  1.2133E+01  1.0170E+00  1.0234E+01
  8.1000E+01  1.2133E+01  1.0170E+00  1.0331E+01
  8.0500E+01  1.2133E+01  1.0170E+00  1.0284E+01
  8.0000E+01  1.2133E+01  1.0170E+00  1.0041E+01
  7.9500E+01  1.2133E+01  1.0170E+00  9.5532E+00
  7.9000E+01  1.2133E+01  1.0170E+00  8.7926E+00
  7.8500E+01  1.2133E+01  1.0170E+00  7.7469E+00
  7.8000E+01  1.2133E+01  1.0170E+00  6.4266E+00
  7.7500E+01  1.2133E+01  1.0170E+00  4.8663E+00
  7.7000E+01  1.2133E+01  1.0170E+00  3.1179E+00
  7.6500E+01  1.2133E+01  1.0170E+00  1.2579E+00
  7.6000E+01  1.2133E+01  1.0170E+00 -6.3280E-01
  7.5500E+01  1.2133E+01  1.0170E+00 -2.4558E+00
  7.5000E+01  1.2133E+01  1.0170E+00 -4.1250E+00
  7.4500E+01  1.2133E+01  1.0170E+00 -5.5495E+00
  7.4000E+01  1.2133E+01  1.0170E+00 -6.6644E+00
  7.3500E+01  1.2133E+01  1.0170E+00 -7.4156E+00
  7.3000E+01  1.2133E+01  1.0170E+00 -7.7794E+00
  7.2500E+01  1.2133E+01  1.0170E+00 -7.7561E+00
  7.2000E+01  1.2133E+01  1.0170E+00 -7.3714E+00
  7.1500E+01  1.2133E+01  1.0170E+00 -6.6782E+00
  7.1000E+01  1.2133E+01  1.0170E+00 -5.7442E+00
  7.0500E+01  1.2133E+01  1.0170E+00 -4.6562E+00
  7.0000E+01  1.2133E+01  1.0170E+00 -3.5019E+00
  6.9500E+01  1.2133E+01  1.0170E+00 -2.3726E+00
  6.9000E+01  1.2133E+01  1.0170E+00 -1.3475E+00
  6.8500E+01  1.2133E+01  1.0170E+00 -4.9263E-01
  6.8000E+01  1.2133E+01  1.0170E+00  1.4698E-01
  6.7500E+01  1.2133E+01  1.0170E+00  5.4977E-01
  6.7000E+01  1.2133E+01  1.0170E+00  7.1826E-01
  6.6500E+01  1.2133E+01  1.0170E+00  6.7858E-01
  6.6000E+01  1.2133E+01  1.0170E+00  4.7702E-01
  6.5500E+01  1.2133E+01  1.0170E+00  1.7370E-01
  6.5000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.4500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.4000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.3500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.3000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.2500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.2000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.1500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.1000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.0500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.0000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.9500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.9000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.8500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.8000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.7500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.7000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.6500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.6000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.5500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.5000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.4500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.4000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.3500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.3000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.2500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.2000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.1500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.1000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.0500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.0000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.0000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.0500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.1000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.1500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.2000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.2500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.3000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.3500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.4000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.4500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.5000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.5500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.6000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.6500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.7000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.7500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.8000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.8500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.9000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.9500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.0000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.0500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.1000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.1500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.2000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.2500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.3000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.3500E+01  1.2133E+01  1.0170E+00  0.0000E+00
