# Data format string: '(4E12.4)'
# Data printout from CCMC-simulation: version PD-2.0
# Data type:  Weimer_05  ionosphere
# Run name:   N/A  Inputs: Vx:  400.00 By:   3.54 Bz:  -3.54 N:   8.00 Tilt: -25.00
# Model coordinate system: SM
# Missing data:          NaN
# Date, time:            0           0           0  **:59:00
# Output data: field with 162x181=29322 elements
# LAT         MLT         R           PHI       
# deg         hours       R_E         kV        
  9.0000E+01  1.2000E+01  1.0170E+00 -1.2788E+01
  8.9500E+01  1.2000E+01  1.0170E+00 -1.3763E+01
  8.9000E+01  1.2000E+01  1.0170E+00 -1.4595E+01
  8.8500E+01  1.2000E+01  1.0170E+00 -1.5316E+01
  8.8000E+01  1.2000E+01  1.0170E+00 -1.5970E+01
  8.7500E+01  1.2000E+01  1.0170E+00 -1.6601E+01
  8.7000E+01  1.2000E+01  1.0170E+00 -1.7259E+01
  8.6500E+01  1.2000E+01  1.0170E+00 -1.7981E+01
  8.6000E+01  1.2000E+01  1.0170E+00 -1.8799E+01
  8.5500E+01  1.2000E+01  1.0170E+00 -1.9730E+01
  8.5000E+01  1.2000E+01  1.0170E+00 -2.0775E+01
  8.4500E+01  1.2000E+01  1.0170E+00 -2.1920E+01
  8.4000E+01  1.2000E+01  1.0170E+00 -2.3134E+01
  8.3500E+01  1.2000E+01  1.0170E+00 -2.4374E+01
  8.3000E+01  1.2000E+01  1.0170E+00 -2.5586E+01
  8.2500E+01  1.2000E+01  1.0170E+00 -2.6709E+01
  8.2000E+01  1.2000E+01  1.0170E+00 -2.7686E+01
  8.1500E+01  1.2000E+01  1.0170E+00 -2.8456E+01
  8.1000E+01  1.2000E+01  1.0170E+00 -2.8974E+01
  8.0500E+01  1.2000E+01  1.0170E+00 -2.9198E+01
  8.0000E+01  1.2000E+01  1.0170E+00 -2.9107E+01
  7.9500E+01  1.2000E+01  1.0170E+00 -2.8690E+01
  7.9000E+01  1.2000E+01  1.0170E+00 -2.7956E+01
  7.8500E+01  1.2000E+01  1.0170E+00 -2.6925E+01
  7.8000E+01  1.2000E+01  1.0170E+00 -2.5630E+01
  7.7500E+01  1.2000E+01  1.0170E+00 -2.4117E+01
  7.7000E+01  1.2000E+01  1.0170E+00 -2.2434E+01
  7.6500E+01  1.2000E+01  1.0170E+00 -2.0636E+01
  7.6000E+01  1.2000E+01  1.0170E+00 -1.8774E+01
  7.5500E+01  1.2000E+01  1.0170E+00 -1.6902E+01
  7.5000E+01  1.2000E+01  1.0170E+00 -1.5062E+01
  7.4500E+01  1.2000E+01  1.0170E+00 -1.3294E+01
  7.4000E+01  1.2000E+01  1.0170E+00 -1.1627E+01
  7.3500E+01  1.2000E+01  1.0170E+00 -1.0082E+01
  7.3000E+01  1.2000E+01  1.0170E+00 -8.6720E+00
  7.2500E+01  1.2000E+01  1.0170E+00 -7.4037E+00
  7.2000E+01  1.2000E+01  1.0170E+00 -6.2765E+00
  7.1500E+01  1.2000E+01  1.0170E+00 -5.2852E+00
  7.1000E+01  1.2000E+01  1.0170E+00 -4.4213E+00
  7.0500E+01  1.2000E+01  1.0170E+00 -3.6738E+00
  7.0000E+01  1.2000E+01  1.0170E+00 -3.0310E+00
  6.9500E+01  1.2000E+01  1.0170E+00 -2.4802E+00
  6.9000E+01  1.2000E+01  1.0170E+00 -2.0098E+00
  6.8500E+01  1.2000E+01  1.0170E+00 -1.6081E+00
  6.8000E+01  1.2000E+01  1.0170E+00 -1.2645E+00
  6.7500E+01  1.2000E+01  1.0170E+00 -9.6921E-01
  6.7000E+01  1.2000E+01  1.0170E+00 -7.1290E-01
  6.6500E+01  1.2000E+01  1.0170E+00 -4.8698E-01
  6.6000E+01  1.2000E+01  1.0170E+00 -2.8314E-01
  6.5500E+01  1.2000E+01  1.0170E+00 -9.3617E-02
  6.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.9500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.9000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.8500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.8000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.7500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.7000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.6500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.6000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.5500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  5.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.5500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.6000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.6500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.7000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.7500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.8000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.8500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.9000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.9500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.5500E+01  1.2000E+01  1.0170E+00 -2.8611E-02
 -6.6000E+01  1.2000E+01  1.0170E+00 -1.0534E-01
 -6.6500E+01  1.2000E+01  1.0170E+00 -2.3946E-01
 -6.7000E+01  1.2000E+01  1.0170E+00 -4.6356E-01
