# Data format string: '(4E12.4)'
# Data printout from CCMC-simulation: version PD-2.0
# Data type:  Weimer_05  ionosphere
# Run name:   N/A  Inputs: Vx:  400.00 By:  -3.54 Bz:  -3.54 N:   8.00 Tilt:   0.00
# Model coordinate system: SM
# Missing data:          NaN
# Date, time:            0           0           0  **:59:00
# Output data: field with 162x181=29322 elements
# LAT         MLT         R           PHI       
# deg         hours       R_E         kV        
  9.0000E+01  1.2000E+01  1.0170E+00  1.6986E+00
  8.9500E+01  1.2000E+01  1.0170E+00  1.9501E+00
  8.9000E+01  1.2000E+01  1.0170E+00  2.2361E+00
  8.8500E+01  1.2000E+01  1.0170E+00  2.5571E+00
  8.8000E+01  1.2000E+01  1.0170E+00  2.9148E+00
  8.7500E+01  1.2000E+01  1.0170E+00  3.3114E+00
  8.7000E+01  1.2000E+01  1.0170E+00  3.7484E+00
  8.6500E+01  1.2000E+01  1.0170E+00  4.2257E+00
  8.6000E+01  1.2000E+01  1.0170E+00  4.7399E+00
  8.5500E+01  1.2000E+01  1.0170E+00  5.2838E+00
  8.5000E+01  1.2000E+01  1.0170E+00  5.8448E+00
  8.4500E+01  1.2000E+01  1.0170E+00  6.4048E+00
  8.4000E+01  1.2000E+01  1.0170E+00  6.9399E+00
  8.3500E+01  1.2000E+01  1.0170E+00  7.4213E+00
  8.3000E+01  1.2000E+01  1.0170E+00  7.8161E+00
  8.2500E+01  1.2000E+01  1.0170E+00  8.0888E+00
  8.2000E+01  1.2000E+01  1.0170E+00  8.2048E+00
  8.1500E+01  1.2000E+01  1.0170E+00  8.1309E+00
  8.1000E+01  1.2000E+01  1.0170E+00  7.8408E+00
  8.0500E+01  1.2000E+01  1.0170E+00  7.3148E+00
  8.0000E+01  1.2000E+01  1.0170E+00  6.5450E+00
  7.9500E+01  1.2000E+01  1.0170E+00  5.5352E+00
  7.9000E+01  1.2000E+01  1.0170E+00  4.3027E+00
  7.8500E+01  1.2000E+01  1.0170E+00  2.8798E+00
  7.8000E+01  1.2000E+01  1.0170E+00  1.3088E+00
  7.7500E+01  1.2000E+01  1.0170E+00 -3.5226E-01
  7.7000E+01  1.2000E+01  1.0170E+00 -2.0429E+00
  7.6500E+01  1.2000E+01  1.0170E+00 -3.6908E+00
  7.6000E+01  1.2000E+01  1.0170E+00 -5.2308E+00
  7.5500E+01  1.2000E+01  1.0170E+00 -6.5928E+00
  7.5000E+01  1.2000E+01  1.0170E+00 -7.7233E+00
  7.4500E+01  1.2000E+01  1.0170E+00 -8.5727E+00
  7.4000E+01  1.2000E+01  1.0170E+00 -9.1125E+00
  7.3500E+01  1.2000E+01  1.0170E+00 -9.3275E+00
  7.3000E+01  1.2000E+01  1.0170E+00 -9.2222E+00
